codigo	bloque	paleta	texto	label	aclaracion
P08	Control	freq	¿Cuán frecuente es que usted responda encuestas?	Frecuencia de respuesta de encuestas	
P09	Bloque General		¿Qué opinión tiene usted sobre la gestión del actual Gobierno de la Provincia de Neuquen?	Opinión sobre la gestión del gobierno provincial	
P10	Bloque General		¿Podría indicarnos cuáles son sus expectativas sobre el gobierno entrante de Rolo Figueroa 	Expectativas sobre el gobierno de Rolo Figueroa	
P11	Bloque Neuquén Capital		¿Qué opinión tiene usted sobre la gestión del actual Gobierno de la Intendencia de Neuquén?	Opinión sobre el gobierno de la Intendencia	(Sólo Neuquén Capital)
P12	Bloque Neuquén Capital		¿Podría indicarnos cuáles son sus expectativas sobre el gobierno entrante de Mariano Gaido 	Expectativas sobre el gobierno de Mariano Gaido	(Sólo Neuquén Capital)
P13	Bloque General	sino	¿Considera usted que la planta política del Gobierno Provincial se encuentra sobredimensionada? 	Opinión sobre el tamaño de la planta política del Gob. Provincial	
P14	Preguntas realizadas alternativamente de forma aleatoria	sino	Está usted de acuerdo en reducir a la mitad la planta Política  del Gobierno Provincial? 	Opinión sobre la reducción de la planta política del Gob. Provincial	(A)
P15	Preguntas realizadas alternativamente de forma aleatoria	sino	Está de acuerdo en ahorrar 30.000.00 $ reduciendo a la mitad la planta política del del Gobierno Provincial? 	Opinión sobre la reducción de la planta política del Gob. Provincial	(B)
P16	Bloque General	sino	¿Sabía usted que el gobierno provincial tomó la decisión de reducir a la mitad la planta política y que eso representa un ahorro de 30 mil millones de pesos?	Nivel de conocimiento del ahorro que implica el recorte de planta política	
P17	Bloque General	quali	Quien considera usted que es el principal responsable de la falta de insumos médicos en la Provincia 	Opinión sobre la responsabilidad del faltante de insumos médicos en la Provincia	
P18	Bloque General	diverging	El ministerio de salud del gobierno de la provincia acaba de recibir una primera entrega de insumos sanitarios por el 40% de una compra de  1.700. 000.000 de pesos. Cuál es su opinión al respecto:	Opinión sobre la compra de insumos médicos por parte de la Provincia	
P19	Bloque General	sino	¿Podría indicarnos si cree que Rolo Figueroa tiene capacidad de gestión?	Opinión sobre la capacidad de gestión de Rolo Figueroa	
P20	Bloque General	sino	¿Usted cree que Rolo Figueroa es una persona honesta? 	Opinión sobre la honestidad de Rolo Figueroa	
P21	Bloque Neuquén Capital	sino	¿Podría indicarnos si cree que Mariano Gaido tiene capacidad de gestión?	Opinión sobre la capacidad de gestión de Mariano Gaido	(Sólo Neuquén Capital)
P22	Bloque Neuquén Capital	sino	¿Usted cree que Mariano Gaido es una persona honesta? 	Opinión sobre la honestidad de Mariano Gaido	(Sólo Neuquén Capital)
P23	Bloque General	diverging	¿Como califica la presencia policial en las calles?	Calificación de la presencia policial en las calles	
P24	Bloque General	diverging	¿Cómo evalúa la respuesta policial?	Calificación de la respuesta policial	
P25	Bloque General	diverging	¿Como califica la atención en las comisarías?	Calificación de la atención en comisarías	
P26	Bloque General	quali	¿Cuál es el principal aspecto que cambiaría en la policía?	Opinión sobre aspectos a cambiar en la policía	
P27	Bloque General	diverging	¿Qué nivel de confianza le inspira la policía?	Nivel de confianza en la policía	
P28	Bloque General	politica	Quien considera usted que es el principal responsable de la actual crisis económica del país	Opinión sobre la responsabilidad de la actual crisis económica	
P29	Bloque General	quali	Que considera que debería hacer el presidente Javier Milei con el contenido de la ley ómnibus luego del fracaso del tratamiento en la Cámara de Diputados	Opinión sobre la Ley Ómnibus dado el fracaso del tratamiento en Diputados	
P30	Bloque General	politica	En la disputa entre el presidente Milei y los gobernadores quien considera usted que tiene la razón	Opinión respecto a la disputa entre los gobernadores y el presidente	
P31	Imagen de dirigentes		¿Qué imagen tiene de Rolo Figueroa?	Imagen de Rolo Figueroa	
P32	Imagen de dirigentes		¿Qué imagen tiene de Mariano Gaido?	Imagen de Mariano Gaido	
P33	Imagen de dirigentes		¿Qué imagen tiene de Omar Gutierrez?	Imagen de Omar Gutierrez	
P34	Imagen de dirigentes		¿Qué imagen tiene de Marcos Koopmann?	Imagen de Marcos Koopmann	
P35	Imagen de dirigentes		¿Qué imagen tiene de Ramon Rioseco?	Imagen de Ramon Rioseco	
P36	Imagen de dirigentes		¿Qué imagen tiene de Cristina Fernández de Kirchner?	Imagen de Cristina Fernández de Kirchner	
P37	Imagen de dirigentes		¿Qué imagen tiene de Mauricio Macri?	Imagen de Mauricio Macri	
P38	Imagen de dirigentes		¿Qué imagen tiene de Sergio Massa?	Imagen de Sergio Massa	
P39	Imagen de dirigentes		¿Qué imagen tiene de Javier Milei?	Imagen de Javier Milei	
P40	Imagen de dirigentes		¿Qué imagen tiene de Patricia Bullrich?	Imagen de Patricia Bullrich	
P41	Imagen de dirigentes		¿Qué imagen tiene de Karina Milei?	Imagen de Karina Milei	
P42	Imagen de dirigentes		¿Qué imagen tiene de Victoria Villarruel? 	Imagen de Victoria Villarruel	
P43	Imagen de dirigentes		¿Qué imagen tiene de Juan Schiaretti? 	Imagen de Juan Schiaretti	
P44	Imagen de dirigentes		¿Qué imagen tiene de Toto Caputo? 	Imagen de Toto Caputo	
P45	Imagen de dirigentes		¿Qué imagen tiene de Guillermo Francos? 	Imagen de Guillermo Francos	
