codigo	bloque	paleta	texto	label	aclaracion
P08	Escenarios políticos	politica	Si las elecciones presidenciales fueran mañana ¿Al candidato de qué espacio político votaría?	Intención de voto en elecciones presidenciales	
P09	Escenarios políticos	politica	¿A cuál de los siguientes dirigentes del Frente de Todos y el peronismo preferiría ud. votar? (Solo para quienes tienen intención de votar al Frente de Todos)	Intención de voto en elecciones presidenciales (Sólo votantes del Frente de Todos)	
P10	Escenarios políticos	politica	¿A cuál de los siguientes candidatos de Juntos por el cambio preferiría ud. votar? (Solo para quienes tienen intención de votar a Juntos por el cambio)	Intención de voto en elecciones presidenciales (Sólo votantes de Juntos por el Cambio)	
P11	Escenarios políticos	politica	Si las elecciones a gobernador fueran mañana, ¿a qué candidato votaría?	Intención de voto a Gobernador	
P11_imputadas	Escenarios políticos	politica	Si las elecciones a gobernador fueran mañana, ¿a qué candidato votaría?(Imputación no lineal de indecisos)	Intención de voto a Gobernador (Imputación no lineal de indecisos)	
P14	Escenarios políticos	politica	Si las elecciones a gobernador y vicegobernador fueran mañana, ¿a qué fórmula votaría?	Intención de voto a Gobernador y Vicegobernador	
P14_imputadas	Escenarios políticos	politica	Si las elecciones a gobernador y vicegobernador fueran mañana, ¿a qué fórmula votaría?(Imputación no lineal de indecisos)	Intención de voto a Gdor. y Vice Gdor.(Imputación no lineal de indecisos)	
P17	Escenarios políticos	politica	Y en el caso que los siguientes dirigentes nacionales y provinciales apoyarán a algún candidato, ¿a quién votaría ud. para gobernador?	Intención de voto a Gdor. y Vice Gdor. con apoyo de dirigentes Nacionales	
P17_imputadas	Escenarios políticos	politica	Y en el caso que los siguientes dirigentes nacionales y provinciales apoyarán a algún candidato, ¿a quién votaría ud. para gobernador?(Imputación no lineal de indecisos)	Intención de voto a Gdor. y Vice Gdor. con apoyo de dirigentes Nacionales (Imputación no lineal de indecisos)
P20	Reach de intención de voto	votaria	Si Alfredo Cornejo  fuera candidato a gobernador, ud.	Intención de voto por Alfredo Cornejo  para Gobernador	
P21	Reach de intención de voto	votaria	Si Luis Petri  fuera candidato a gobernador, ud.	Intención de voto por Luis Petri  fuera para Gobernador	
P22	Reach de intención de voto	votaria	Si Omar De Marchi  fuera candidato a gobernador, ud.	Intención de voto por Omar De Marchi  para Gobernador	
P23	Reach de intención de voto	votaria	Si Omar Parisi fuera candidato a gobernador, ud.	Intención de voto por Omar Parisi para Gobernador	
P24	Reach de intención de voto	votaria	Si Guillermo Carmona fuera candidato a gobernador, ud.	Intención de voto por Guillermo Carmona para Gobernador	
P25	Reach de intención de voto	votaria	Si Nicolás Guillén fuera candidato a gobernador, ud.	Intención de voto por Nicolás Guillén para Gobernador	
P26	Reach de intención de voto	votaria	Si Alfredo Guevara fuera candidato a gobernador, ud.	Intención de voto por Alfredo Guevara para Gobernador	
P27	Reach de intención de voto	votaria	Si Lautaro Giménez fuera candidato a gobernador, ud.	Intención de voto por Lautaro Giménez para Gobernador	
P28	Reach de intención de voto	votaria	Si Victor da Vila fuera candidato a gobernador, ud.	Intención de voto por Víctor da Vila para Gobernador	
P29	Reach de intención de voto	votaria	Si Hebe Casado  fuera candidata a vicegobernadora, ud.	Intención de voto por Hebe Casado para Vicegobernadora	
P30	Reach de intención de voto	votaria	Si Patricia Giménez  fuera candidata a vicegobernadora, ud.	Intención de voto por Patricia Giménez para Vicegobernadora	
P31	Reach de intención de voto	votaria	Si Daniel Orozco  fuera candidato a vicegobernador, ud.	Intención de voto por Daniel Orozco para Vicegobernador	
P32	Reach de intención de voto	votaria	Si Lucas Ilardo fuera candidato a vicegobernador, ud.	Intención de voto por Lucas Ilardo para Vicegobernador	
P33	Reach de intención de voto	votaria	Si Liliana Paponet  fuera candidata a vicegobernadora, ud.	Intención de voto por Liliana Paponet para Vicegobernadora	
P34	Reach de intención de voto	votaria	Si Lorena Martin fuera candidata a vicegobernadora, ud.	Intención de voto por Lorena Martin para Vicegobernadora	
P35	Reach de intención de voto	votaria	Si Patricia Galván fuera candidata a vicegobernadora, ud.	Intención de voto por Patricia Galván para Vicegobernadora	
P36	Reach de intención de voto	votaria	Si Noelia Barbeito  fuera candidata a vicegobernadora, ud.	Intención de voto por Noelia Barbeito para Vicegobernadora	
P37	Reach de intención de voto	votaria	Si Nadya Ortiz Gazzo fuera candidata a vicegobernadora, ud.	Intención de voto por Nadya Ortiz Gazzo para Vicegobernadora	
P38	Imagen de dirigentes	imagen	¿Qué imagen tiene de Alfredo Cornejo ?	Imagen de Alfredo Cornejo  para Vicegobernador	
P39	Imagen de dirigentes	imagen	¿Qué imagen tiene de Luis Petri ?	Imagen de Luis Petri 	
P40	Imagen de dirigentes	imagen	¿Qué imagen tiene de Omar De Marchi?	Imagen de Omar De Marchi	
P41	Imagen de dirigentes	imagen	¿Qué imagen tiene de Omar Parisi?	Imagen de Omar Parisi	
P42	Imagen de dirigentes	imagen	¿Qué imagen tiene de Guillermo Carmona?	Imagen de Guillermo Carmona	
P43	Imagen de dirigentes	imagen	¿Qué imagen tiene de Nicolás Guillén?	Imagen de Nicolás Guillén	
P44	Imagen de dirigentes	imagen	¿Qué imagen tiene de Alfredo Guevara?	Imagen de Alfredo Guevara	
P45	Imagen de dirigentes	imagen	¿Qué imagen tiene de Lautaro Giménez?	Imagen de Lautaro Giménez	
P46	Imagen de dirigentes	imagen	¿Qué imagen tiene de Victor da Vila?	Imagen de Víctor da Vila	
P47	Imagen de dirigentes	imagen	¿Qué imagen tiene de Hebe Casado?	Imagen de Hebe Casado	
P48	Imagen de dirigentes	imagen	¿Qué imagen tiene de Patricia Giménez?	Imagen de Patricia Giménez	
P49	Imagen de dirigentes	imagen	¿Qué imagen tiene de Daniel Orozco?	Imagen de Daniel Orozco	
P50	Imagen de dirigentes	imagen	¿Qué imagen tiene de Lucas Ilardo?	Imagen de Lucas Ilardo	
P51	Imagen de dirigentes	imagen	¿Qué imagen tiene de  Liliana Paponet?	Imagen de Liliana Paponet	
P52	Imagen de dirigentes	imagen	¿Qué imagen tiene de Lorena Martin?	Imagen de Lorena Martin	
P53	Imagen de dirigentes	imagen	¿Qué imagen tiene de Patricia Galván?	Imagen de Patricia Galván	
P54	Imagen de dirigentes	imagen	¿Qué imagen tiene de Noelia Barbeito?	Imagen de Noelia Barbeito	
